PlayerID,PA,WAR,G,AB,R,H,2B,3B,HR,RBI,SB,HallOfFame
buechst01,4790,1.18,1334,4696,555,1151,202,20,159,625,16,NC
lowerte01,283,-0.03,123,248,42,70,20,1,3,23,2,NC
cedence01,8133,2.933888889,2006,7454,1094,2107,444,59,196,987,554,C
schuljo04,462,0.43,192,389,60,101,17,4,13,65,1,NC
stantle01,2883,0.748888889,829,2575,294,628,114,13,77,358,36,NC
collior01,25,0.01,13,24,3,6,1,1,0,1,0,NC
beaveed01,59,-0.055,13,58,13,15,2,0,0,7,2,NC
fernach01,3078,-0.25,856,2682,261,644,86,19,39,252,65,NC
rondehe01,327,0.183333333,100,272,28,56,7,3,1,37,9,NC
malayjo01,25,-0.11,9,25,0,4,0,0,0,2,0,NC
murcebo01,7718,1.780555556,1908,6656,952,1839,277,46,251,1032,128,C
weedebe01,1,-0.03,1,1,0,0,0,0,0,0,0,NC
haasbe01,2674,0.464,721,2337,251,617,91,29,21,253,51,NC
iwamuak01,1755,0.904,408,1679,237,439,79,23,18,122,35,NC
carnebi01,8,-0.15,2,7,0,0,0,0,0,0,0,NC
britoti01,283,-0.12,92,332,28,75,13,0,1,23,3,NC
hintojo01,15,-0.25,4,13,0,1,0,0,0,0,0,NC
castoko01,239,-0.81,82,217,16,42,12,0,2,19,1,NC
doziedj01,54,-0.2,25,47,4,9,2,0,0,2,4,NC
mageesh01,8545,3.487058824,2087,7550,1119,2188,425,166,84,1182,444,C
hamilda02,5177,1.115333333,1328,4919,786,1421,217,40,46,458,170,NC
combsea01,6514,3.541666667,1455,5746,1186,1866,309,154,58,632,96,I
suderpe01,5475,-0.126923077,1421,5085,469,1268,210,44,49,541,19,NC
mcgeewi01,8188,1.801052632,2201,8037,1063,2391,379,97,82,903,377,C
lajoina01,10460,4.882272727,2480,9246,1423,3112,622,158,75,1536,362,I
hernajo01,5089,0.698421053,1587,5134,703,1307,197,36,191,656,45,NC
zahnefr01,108,-0.375,35,98,14,21,1,2,0,10,2,NC
wrighge01,2941,1.934166667,591,2873,665,866,124,60,11,326,47,C
rodgebu01,3351,0.377777778,932,3033,259,704,114,18,31,288,17,NC
kerrjo01,1631,0.25,471,1457,172,388,59,13,6,145,26,NC
lamarbi01,2203,0.259,550,1908,286,593,110,22,19,231,23,NC
barnaba01,743,-0.116666667,207,665,80,158,23,9,11,98,10,NC
hicksjo01,455,-0.278,212,416,41,92,11,3,12,39,3,NC
shirlmu01,111,-0.325,44,100,14,21,3,2,0,18,0,NC
tiernmi01,6732,3.25,1478,5915,1316,1838,257,162,106,853,428,NC
maysoed01,152,0.096666667,76,136,16,36,3,1,2,11,1,NC
coonwi01,234,-0.45,58,232,31,52,5,1,0,23,1,NC
mayele01,4383,0.983125,1288,3805,499,1045,183,30,92,408,62,NC
byersra01,27,0.005,21,26,1,7,2,0,0,1,1,NC
snideva01,36,-0.055,19,35,5,7,1,0,1,6,0,NC
wilsofr01,551,-0.146,168,484,45,120,19,4,1,38,8,NC
jennido01,380,-0.114,189,322,36,65,16,3,5,37,0,NC
pedrejo01,26,0.015,14,23,2,5,1,1,0,3,0,NC
burnsja01,59,0.065,15,53,5,12,0,0,0,4,1,NC
mavisbo01,0,0,1,0,0,0,0,0,0,0,0,NC
littlbr01,1072,0.301666667,327,916,126,224,37,5,3,79,8,NC
mcavoge01,1,-0.03,1,1,0,0,0,0,0,0,0,NC
morriji01,3695,0.794666667,1089,3668,405,959,197,18,118,459,54,NC
glenabo01,344,1.055,82,311,54,88,13,4,4,38,37,NC
clarkja01,8230,2.947777778,1994,6847,1118,1826,332,39,340,1180,77,C
zeileto01,8649,0.926666667,2158,7759,1011,2054,395,21,267,1154,53,C
charlch01,942,-0.5625,237,1147,106,255,28,10,1,75,29,NC
housiwa01,27,-0.09,29,24,4,5,2,0,0,1,1,NC
haydeja01,636,-0.163333333,147,578,60,145,14,8,1,33,11,NC
nickemi01,191,-0.2325,74,172,12,31,4,0,2,19,0,NC
dressch01,2535,1.0675,646,2215,313,603,123,29,11,221,30,NC
hallied01,283,-0.7,80,255,24,54,5,1,0,15,7,NC
roofge01,105,0.1225,48,81,16,22,6,0,0,5,7,NC
murphho01,68,-0.52,25,60,3,12,0,0,0,3,1,NC
tebeapa01,5021,0.774615385,1167,4618,671,1290,196,57,27,735,164,NC
siebeno01,5267,1.614615385,1406,4495,666,1217,207,37,132,633,18,NC
housefr03,2187,0.234,653,1994,202,494,64,11,47,235,6,NC
haywore01,450,-1.025,146,430,27,91,15,1,1,42,0,NC
shautjo01,727,0.253076923,367,660,63,170,28,4,1,64,3,NC
roofph01,2404,0.181111111,857,2185,189,467,69,14,44,215,11,NC
kisher01,128,-0.21,43,110,10,27,5,1,0,10,0,NC
chavaos01,279,0,124,250,28,52,12,0,2,14,4,NC
sebriji01,1524,0.364285714,363,1575,195,408,54,38,6,181,55,NC
barrage01,65,0.0825,67,62,19,18,2,3,0,3,5,NC
parrisa01,17,-0.22,11,16,0,2,1,0,0,0,0,NC
clarkro01,81,-0.89,22,80,4,12,1,0,0,3,5,NC
phillbu02,3564,0.307,1062,3278,348,835,135,8,62,356,25,NC
camermi01,7884,2.592222222,1955,6790,1055,1680,377,59,275,959,296,C
nixondo01,438,0.3475,208,396,56,109,11,0,4,35,47,NC
budd01,4,-0.12,1,4,0,0,0,0,0,0,0,NC
alstowa01,1,-0.03,1,1,0,0,0,0,0,0,0,C
dunnto01,130,0.005,50,128,19,30,6,0,3,10,3,NC
sperapa01,2,-0.04,1,2,0,0,0,0,0,0,0,NC
heganmi01,2451,0.552,966,1950,273,462,68,16,47,205,29,NC
woodke01,1109,-0.472857143,342,805,84,175,44,1,28,111,1,NC
pikeli01,2030,1.299090909,425,2102,458,680,125,53,21,339,50,C
schalge01,151,-0.09,52,131,9,33,7,1,2,15,0,NC
severri01,293,1.005,93,270,26,69,11,3,1,23,0,NC
millech02,50,-0.3,40,48,4,9,1,0,0,3,2,NC
hurstji01,19,-0.04,13,17,1,3,1,0,1,1,0,NC
rohdeda01,174,-0.34,93,146,11,23,4,0,0,5,0,NC
tutwigu01,85,-0.235,27,79,7,16,2,1,0,10,2,NC
mcclobi01,71,-0.32,20,70,1,10,0,0,0,4,0,NC
kellyva01,327,-0.245,111,298,25,66,10,1,4,24,0,NC
dropowa01,4522,0.191875,1288,3575,407,945,144,18,125,619,3,C
gonzawi01,932,0.212857143,295,836,75,200,41,3,17,103,3,NC
alexama01,195,-0.11,374,168,111,36,4,2,0,4,103,NC
schelal01,47,-0.305,15,45,4,6,0,0,0,1,2,NC
zuberjo01,151,-0.435,68,136,13,34,7,1,3,16,1,NC
stankto01,2,-0.04,2,2,0,0,0,0,0,0,0,NC
resslla01,108,-0.39,27,108,17,21,1,0,0,5,4,NC
cooneph01,3,-0.07,1,3,0,0,0,0,0,0,0,NC
jonesda01,4388,1.0325,1090,3580,606,957,87,38,9,277,200,NC
lewisda01,4654,0.700666667,1354,4227,643,1054,142,39,27,345,265,NC
mayersa01,37,0.04,11,29,5,7,0,0,1,4,1,NC
campbpa01,417,-0.148333333,204,380,61,97,17,5,4,41,4,NC
hallbo01,404,-0.616666667,103,169,13,28,4,0,0,17,5,NC
moranhe01,2514,0.146666667,595,2448,320,580,67,30,3,168,125,NC
ellamro01,134,0.065,36,98,13,14,1,2,1,6,3,NC
pitkoal01,33,-0.11,11,27,2,7,1,0,0,3,1,NC
peterjo02,331,-0.335,112,302,22,80,13,1,7,47,1,NC
kimmiwa01,386,0.05,163,345,39,90,9,5,1,31,4,NC
bohnch01,13,-0.1,4,13,0,2,0,0,0,0,0,NC
johnsdo02,2102,0.733333333,511,1935,219,528,89,6,8,175,26,NC
landera01,1367,0.059,596,1234,132,289,32,17,3,85,57,NC
carreca01,1100,0.3475,354,986,113,260,43,4,11,114,3,NC
falloch01,0,0,1,0,0,0,0,0,0,0,0,NC
schuljo03,2142,0.092142857,703,1801,216,515,74,19,10,218,30,NC
conefr01,85,0.09,19,77,17,20,3,1,0,16,12,NC
greenal01,70,-0.22,29,59,9,8,1,0,3,6,0,NC
crossam01,488,0.476666667,117,441,62,118,16,7,1,56,13,NC
cabelen01,6304,0.704375,1688,5903,753,1626,260,57,62,588,235,NC
matosfr01,30,-0.25,14,28,1,7,1,0,0,2,1,NC
lohrho01,55,-0.295,21,54,6,11,1,1,0,8,3,NC
smithre02,4517,2.694,1117,4030,486,1103,201,56,28,525,124,NC
winnihe01,2069,-0.053,868,1865,216,447,70,24,19,138,101,NC
tiernco01,2488,0.795714286,630,1939,220,564,93,31,22,289,27,NC
maxvida01,3898,0.454117647,1423,3455,303,757,80,22,7,256,7,C
collvbi01,4,-0.09,1,4,0,0,0,0,0,0,0,NC
nishits01,254,-1.15,71,233,14,50,5,0,0,20,2,NC
credejo01,3377,1.469,888,3101,392,787,159,5,140,470,4,NC
lopezca01,538,0.556666667,237,500,61,130,24,1,12,54,23,NC
bakerfr01,6676,4.826923077,1575,5984,887,1838,315,103,96,987,235,I
devliar01,5246,3.638,1313,4412,603,1185,164,57,10,505,285,NC
bakopa01,2471,-0.090714286,789,1987,177,458,88,10,22,175,4,NC
tagucso01,1524,0.2725,672,1369,197,382,74,7,19,163,39,NC
hernato01,2,0.03,3,2,1,1,0,0,0,0,0,NC
munozpe01,1832,-0.18,517,1708,203,467,75,8,67,252,11,NC
diazju01,8,0.09,4,7,2,2,1,0,1,2,0,NC
jarviro01,57,-0.103333333,21,50,4,8,1,0,1,4,0,NC
jonesmi03,15,0.18,8,13,1,4,1,0,0,0,0,NC
fussele01,73,-0.255,43,71,6,12,4,0,1,3,0,NC
youngra01,4342,0.157777778,1022,3643,480,898,108,30,4,254,92,NC
allisar01,746,0.036666667,168,678,98,170,18,8,0,54,15,NC
saltzja01,885,0.36,278,764,131,199,26,5,10,82,9,NC
schafha01,1667,0.4825,367,1655,339,449,64,15,4,215,35,NC
foxer01,290,-0.1575,116,258,38,51,8,2,5,19,5,NC
washihe01,0,-0.27,105,0,33,0,0,0,0,0,31,NC
simsdu01,2810,0.912857143,843,2627,281,616,94,6,102,327,7,C
mccafha01,179,0.163333333,44,324,46,85,16,12,0,1,0,NC
parkifr01,1444,-0.0825,378,1311,157,335,57,8,24,149,9,NC
stortli01,766,-0.4475,216,704,83,160,34,11,9,75,3,NC
nahorbi01,920,0.018888889,308,844,74,203,41,3,25,109,1,NC
grossge01,26,-0.31,7,26,4,3,0,0,0,1,0,NC
goodmja01,302,0.26,70,293,33,75,6,5,1,27,0,NC
sandere02,7043,2.339411765,1777,6241,1037,1666,341,60,305,983,304,C
andreer01,44,-0.46,15,41,0,4,2,0,0,1,0,NC
dalrybi01,2,-0.04,3,2,0,0,0,0,0,0,0,NC
boehmle01,124,-0.32,50,116,5,19,4,0,0,7,0,NC
rossmcl01,2023,0.963333333,511,2127,191,597,88,29,3,277,59,NC
penato02,870,-0.2325,327,829,95,189,32,8,4,66,8,NC
rogerfr01,216,0.195,47,215,41,60,8,1,1,31,2,NC
faheyho01,6,-0.12,5,8,0,0,0,0,0,0,0,NC
burnsge01,8250,2.626,1853,7241,1188,2077,362,108,41,611,383,C
andersp01,527,-1.2,152,477,42,104,9,3,0,34,6,C
mooreha01,480,2.23,111,461,77,155,23,5,1,0,0,NC
nevinal01,56,-0.26,13,55,7,11,1,2,0,1,0,NC
diazed03,15,-0.11,7,12,2,2,2,0,0,1,0,NC
fluhrjo01,7,0.08,6,6,0,2,0,0,0,0,1,NC
vargaed01,43,0.075,26,39,4,10,3,0,0,5,0,NC
koshocl01,357,0.365,99,323,27,84,17,0,0,15,4,NC
haeffbi01,191,-0.52,59,180,8,35,4,1,0,14,1,NC
connabr01,116,-0.05,35,109,13,28,6,1,0,8,1,NC
shaff01,4,-0.06,1,4,0,0,0,0,0,0,0,NC
beaumgi01,6299,2.528333333,1463,5660,955,1759,182,82,39,617,254,C
downibr01,9309,2.576,2344,7853,1188,2099,360,28,275,1073,50,C
westbu01,292,-0.265,70,282,40,69,8,9,3,44,4,NC
fletcfr01,1,-0.03,1,1,0,0,0,0,0,0,0,NC
