PA,R,H,2B,HR,RBI,SB,HallOfFame
2503,208,649,117,13,243,1,NC
56,4,11,0,0,3,1,NC
1432,160,301,47,4,134,57,NC
37,4,6,2,1,5,0,NC
14,2,1,0,0,0,0,NC
3000,341,638,129,117,390,7,NC
4029,621,1136,234,118,729,20,NC
1169,127,252,49,1,78,13,NC
903,48,183,21,0,65,14,NC
54,6,9,1,0,3,0,NC
122,9,19,4,0,9,0,NC
347,42,65,7,13,39,1,NC
77,3,17,7,0,9,0,NC
82,13,22,5,0,3,1,NC
708,82,182,29,3,63,3,NC
12,0,2,0,0,0,0,NC
16,1,4,2,0,0,0,NC
4,0,1,0,0,0,0,NC
0,0,0,0,0,0,0,NC
11742,1898,3040,553,604,1870,209,I
146,15,17,1,1,7,3,NC
3393,350,759,119,26,287,29,NC
4,0,1,0,0,0,0,NC
4918,787,1230,172,31,564,159,NC
2,0,0,0,0,0,0,NC
324,18,62,6,0,18,0,NC
52,9,15,4,1,8,0,NC
5,1,1,1,0,1,0,NC
18,2,3,1,0,2,0,NC
9829,1436,2657,486,225,1547,164,I
67,3,12,0,0,4,0,NC
590,87,127,18,3,26,58,NC
674,68,136,14,14,66,6,NC
4181,532,995,216,117,477,93,NC
188,20,29,3,1,11,6,NC
25,0,3,1,0,1,0,NC
84,6,18,3,0,6,0,NC
289,33,68,7,2,22,9,NC
78,6,12,2,0,4,1,NC
1946,213,406,64,14,183,52,NC
117,12,13,3,2,10,0,NC
12011,1882,3514,792,117,1529,432,I
4892,498,1015,160,155,659,10,NC
1643,203,436,39,5,158,72,NC
10313,1649,2428,471,646,1805,19,I
3,0,1,0,0,0,0,NC
32,3,4,0,0,0,0,NC
155,12,42,6,2,20,0,NC
97,26,21,3,1,6,6,NC
563,29,141,17,13,59,0,NC
1076,115,234,43,2,102,28,NC
674,60,142,20,1,48,10,NC
1397,205,320,65,7,123,21,NC
6521,678,1441,218,85,474,41,C
1229,122,346,49,7,148,21,NC
1197,89,263,41,16,102,1,NC
22,2,3,0,0,1,0,NC
95,7,18,4,0,7,0,NC
6,1,2,0,0,3,0,NC
3364,498,954,200,85,377,23,NC
3146,238,681,119,37,289,3,C
2480,314,610,113,39,253,35,NC
81,1,11,0,0,5,0,NC
3145,254,677,116,20,293,56,C
159,16,29,4,0,9,4,NC
237,27,44,11,0,9,6,NC
7913,1105,2132,421,332,1287,106,C
69,8,26,2,0,0,0,NC
5624,860,1552,285,196,913,154,C
439,60,110,14,7,51,11,NC
3759,365,766,111,13,383,100,NC
6410,861,1620,270,328,1064,30,C
6608,618,1537,203,52,645,42,C
778,118,217,49,1,60,19,NC
5151,618,1292,192,77,481,104,NC
684,51,116,26,15,75,1,NC
2131,167,493,98,22,213,9,NC
68,8,10,1,0,3,0,NC
868,45,127,24,10,61,4,NC
119,6,24,3,1,13,1,NC
198,26,44,9,6,17,1,NC
4632,580,1232,216,23,463,48,NC
6,0,1,0,0,0,0,NC
51,3,10,2,0,4,0,NC
100,9,19,4,2,11,0,NC
74,9,14,4,0,6,0,NC
17,2,2,0,0,1,1,NC
8322,1163,1889,304,65,558,203,NC
72,9,18,3,0,5,1,NC
2244,295,486,76,5,130,159,NC
214,18,32,3,1,13,1,NC
3027,360,707,97,89,330,27,NC
579,46,95,17,5,37,6,NC
2,0,1,0,0,1,0,NC
2542,325,570,79,9,179,77,NC
4,0,0,0,0,0,0,NC
8,1,0,0,0,0,0,NC
5413,649,1318,253,92,536,85,C
88,6,14,4,0,4,3,NC
7036,867,1662,289,23,518,156,C
242,29,39,10,1,7,0,NC
10,1,4,0,0,1,0,NC
158,12,36,5,2,13,2,NC
18,4,2,1,0,0,0,NC
250,22,46,5,7,19,0,NC
2334,291,549,81,43,203,124,NC
4295,457,956,147,54,381,43,NC
83,5,19,3,0,10,2,NC
2,0,0,0,0,0,0,NC
